,0,1,2,3,4,5,6,7,8,9,10
0,0.0,0.0,-0.062,1.86,9.79,0.021,0.002,0.002,-2.4,-1.26,17.4
1,1.0,1.0,0.034,1.827,9.589,-0.046,-0.022,-0.026,-1.56,-0.9,16.68
2,2.0,2.0,0.007,1.779,9.922,-0.007,-0.023,-0.009,-1.68,-1.5,16.38
3,3.0,3.0,0.072,1.88,9.589,0.044,0.026,0.003,-1.92,-0.66,16.56
4,4.0,4.0,-0.17,1.87,9.828,-0.049,0.006,-0.026,-3.3,-0.54,17.1
5,5.0,5.0,0.177,1.784,9.568,0.029,-0.026,0.014,-2.34,0.12,18.42
6,6.0,6.0,0.034,1.786,9.805,-0.079,0.022,-0.053,-3.0,-0.24,18.0
7,7.0,7.0,-0.098,1.851,9.735,0.036,0.01,0.049,-3.06,-0.18,17.16
8,8.0,8.0,-0.043,1.805,9.881,-0.046,-0.012,-0.061,-3.24,-0.06,17.64
9,9.0,9.0,0.215,1.698,9.498,0.06,0.007,0.038,-2.88,-1.08,18.18
10,10.0,10.0,-0.294,1.927,9.951,-0.066,-0.0,-0.048,-2.4,0.6,18.3
11,11.0,11.0,0.208,1.628,9.613,0.041,0.015,0.052,-2.76,-0.24,18.3
12,12.0,12.0,-0.223,1.903,9.766,-0.048,0.01,-0.05,-2.88,-0.24,17.64
13,13.0,13.0,0.084,1.748,9.606,0.063,0.01,0.024,-3.06,-0.54,18.12
14,14.0,14.0,-0.053,1.791,9.8,-0.051,0.0,-0.04,-2.16,-1.08,16.32
15,15.0,15.0,0.045,1.736,9.819,-0.006,0.007,0.008,-2.16,-1.14,17.1
16,16.0,16.0,0.127,1.726,9.591,0.029,0.008,0.013,-2.04,-1.62,17.04
17,17.0,17.0,-0.062,1.877,9.769,-0.0,0.019,-0.014,-1.44,-0.72,17.76
18,18.0,18.0,0.081,1.683,9.788,-0.016,-0.012,-0.016,-2.88,-0.66,17.1
19,19.0,19.0,-0.065,1.769,9.697,0.011,0.033,0.021,-2.52,-1.08,17.4
20,20.0,20.0,-0.01,1.695,9.771,-0.005,-0.028,-0.041,-3.0,-0.78,18.0
21,21.0,21.0,0.057,1.662,9.857,-0.031,0.035,0.023,-1.62,-0.66,17.52
22,22.0,22.0,-0.158,1.87,9.678,0.008,0.002,-0.0,-1.98,-0.48,17.82
23,23.0,23.0,0.141,1.721,9.864,-0.017,-0.025,-0.031,-3.12,-0.9,18.12
24,24.0,24.0,-0.239,1.832,9.603,0.048,0.034,0.002,-3.0,-0.66,18.42
25,25.0,25.0,-0.105,1.911,9.618,-0.018,0.021,-0.05,-1.8,-0.72,17.76
26,26.0,26.0,-0.11,1.803,9.697,-0.039,0.01,0.014,-2.04,-1.32,18.24
27,27.0,27.0,-0.235,1.832,9.608,0.025,0.038,0.019,-1.86,-1.14,18.0
28,28.0,28.0,0.031,1.765,9.601,0.025,0.008,-0.007,-2.46,-1.5,16.98
29,29.0,29.0,-0.165,1.81,9.766,-0.028,0.015,0.03,-1.8,-1.2,17.46
30,30.0,30.0,-0.146,1.808,9.728,0.01,-0.042,-0.027,-1.8,-0.84,17.76
31,31.0,31.0,0.134,1.633,9.735,-0.042,-0.024,-0.045,-2.16,-1.44,18.0
32,32.0,32.0,0.29,1.525,9.682,0.028,-0.073,-0.152,-1.86,-1.14,18.72
33,33.0,33.0,-0.455,1.997,9.867,0.045,0.004,-0.021,-1.8,-1.74,18.0
34,34.0,34.0,0.232,1.688,9.5,-0.036,-0.019,-0.047,-1.08,-1.5,18.36
35,35.0,35.0,0.024,1.762,9.805,0.031,-0.009,0.033,-1.14,-1.56,17.94
36,36.0,36.0,-0.177,1.844,9.745,-0.005,-0.029,-0.034,-1.2,-1.74,17.82
37,37.0,37.0,0.232,1.678,9.699,0.054,0.029,0.055,-1.44,-1.08,18.42
38,38.0,38.0,-0.132,1.786,9.788,0.035,0.082,-0.026,-0.66,-0.9,18.3
39,39.0,39.0,0.163,1.829,9.754,0.182,0.14,-0.001,-1.02,-1.02,17.58
40,40.0,40.0,-0.476,2.258,9.582,0.141,0.284,0.008,-0.42,-0.18,16.68
41,41.0,41.0,-0.397,2.356,9.649,0.272,0.201,0.011,0.12,0.42,15.72
42,42.0,42.0,-0.165,1.824,9.673,0.24,0.378,0.165,1.68,1.74,15.78
43,43.0,43.0,-1.073,2.689,9.639,0.19,0.358,-0.03,1.32,2.94,15.9
44,44.0,44.0,0.453,1.508,11.045,0.745,0.495,-0.186,2.88,3.06,14.52
45,45.0,45.0,-2.595,2.995,7.836,0.829,0.806,-0.042,4.68,5.58,12.06
46,46.0,46.0,-0.182,0.666,14.141,-2.078,-1.735,-0.865,6.48,6.54,9.12
47,47.0,47.0,2.902,-0.804,10.935,-0.397,-1.152,-0.432,8.34,8.16,5.1
48,48.0,48.0,0.807,0.553,9.661,-0.297,-0.899,-1.589,9.24,10.2,-0.9
49,49.0,49.0,-0.213,1.712,8.521,-0.105,-0.654,-1.256,7.62,14.58,-3.24
50,50.0,50.0,-2.483,3.175,9.149,-0.092,-0.281,-1.165,5.4,16.14,-4.5
51,51.0,51.0,1.092,1.461,8.023,-0.353,-0.286,-0.728,5.4,16.62,-4.68
52,52.0,52.0,-0.378,1.516,9.359,-0.438,0.25,-1.47,4.62,16.5,-5.52
53,53.0,53.0,0.402,0.85,10.334,-0.591,0.11,-1.497,3.0,16.86,-4.86
54,54.0,54.0,-0.34,1.396,8.308,-0.317,-0.34,-1.097,2.82,18.42,-5.16
55,55.0,55.0,0.204,0.079,9.079,-0.379,-0.263,-1.046,2.1,19.02,-3.6
56,56.0,56.0,0.864,0.512,10.401,-0.694,-0.108,-0.862,0.72,18.48,-4.32
57,57.0,57.0,-0.632,1.046,10.652,-0.0,-0.361,-1.096,1.14,18.66,-4.08
58,58.0,58.0,1.877,2.344,9.814,1.399,-0.453,-0.415,-0.66,18.96,-3.54
59,59.0,59.0,1.829,0.972,8.284,0.425,-0.229,-1.151,-1.02,18.24,-5.16
60,60.0,60.0,0.208,1.602,8.363,0.014,-0.409,-1.48,-2.28,18.06,-5.88
61,61.0,61.0,0.912,0.965,10.796,-0.607,0.156,-0.962,-3.66,18.06,-4.62
62,62.0,62.0,0.587,-0.127,10.374,-0.354,0.059,-1.007,-4.2,17.94,-5.76
63,63.0,63.0,-0.225,0.769,9.17,0.056,0.233,-0.464,-4.26,18.06,-5.1
