,0,1,2,3,4,5,6,7,8,9,10
0,0.0,0.0,-6.9,-1.604,8.215,0.543,0.038,0.554,16.08,-22.32,-19.14
1,1.0,1.0,-5.076,-1.889,11.107,1.416,-2.772,0.174,15.48,-23.1,-18.24
2,2.0,2.0,-4.678,1.068,-1.116,-0.994,-0.757,0.307,10.74,-24.96,-18.78
3,3.0,3.0,-4.319,-0.335,10.494,-0.213,-0.295,0.28,8.64,-24.78,-20.88
4,4.0,4.0,-4.427,0.943,9.867,-0.259,-1.188,0.755,7.44,-24.48,-20.52
5,5.0,5.0,-4.518,-0.814,11.71,0.658,-0.708,1.15,6.06,-24.72,-22.2
6,6.0,6.0,-1.796,-0.117,6.979,0.389,-0.016,1.152,3.24,-25.8,-20.64
7,7.0,7.0,-3.955,0.448,9.472,1.528,0.727,2.289,1.2,-26.64,-20.34
8,8.0,8.0,-3.922,0.924,8.567,2.522,1.044,2.364,-2.76,-28.74,-16.02
9,9.0,9.0,-1.97,-2.868,14.459,-0.048,-1.66,0.325,-4.26,-30.48,-12.0
10,10.0,10.0,-2.002,5.404,3.805,-2.968,1.247,0.754,-5.82,-30.12,-11.76
11,11.0,11.0,-2.21,1.64,11.253,-2.722,-1.234,0.813,-5.82,-27.42,-16.26
12,12.0,12.0,-1.52,2.107,13.137,0.722,-2.132,1.727,-9.84,-24.06,-19.86
13,13.0,13.0,1.803,2.732,5.095,0.509,0.669,0.33,-13.2,-23.94,-16.08
14,14.0,14.0,0.553,2.145,7.446,-0.357,-0.3,-0.074,-13.86,-24.66,-15.0
15,15.0,15.0,-0.172,0.481,9.419,-1.774,-0.146,-0.286,-13.86,-24.0,-15.72
16,16.0,16.0,0.177,0.46,8.931,-0.816,-0.258,0.229,-14.04,-22.38,-17.76
17,17.0,17.0,0.055,0.958,10.865,-0.283,-1.297,0.261,-14.58,-21.48,-18.54
18,18.0,18.0,-1.413,1.178,8.986,-0.694,-0.081,-1.002,-15.6,-21.48,-17.88
19,19.0,19.0,1.595,-1.08,9.445,-0.116,-1.17,-1.264,-15.54,-21.66,-18.6
20,20.0,20.0,2.715,0.153,9.896,0.248,-1.021,-0.611,-15.84,-22.08,-16.5
21,21.0,21.0,6.33,0.857,5.811,-1.53,-2.791,-0.736,-16.5,-22.74,-15.3
22,22.0,22.0,11.512,-6.244,5.241,-1.475,-1.505,-2.857,-17.82,-22.08,-13.62
23,23.0,23.0,11.279,-6.68,3.34,-2.41,-3.593,-3.635,-15.9,-23.58,-12.96
24,24.0,24.0,7.077,-7.485,5.342,-4.337,-5.363,-1.83,-14.16,-24.72,-12.12
25,25.0,25.0,7.338,-10.279,4.499,-4.489,-4.796,-1.702,-15.84,-22.32,-14.46
26,26.0,26.0,8.856,-7.099,-0.086,-3.924,-5.17,-1.726,-19.14,-19.62,-13.5
27,27.0,27.0,8.368,-6.06,-0.675,-3.272,-1.91,0.478,-21.78,-16.56,-11.16
28,28.0,28.0,9.271,-3.886,-0.661,-5.15,-1.128,1.877,-23.46,-13.74,-12.54
29,29.0,29.0,10.801,-7.405,6.785,-5.576,-1.801,3.076,-26.1,-5.88,-14.58
