,0,1,2,3,4,5,6,7,8,9,10
0,0.0,0.0,0.486,-0.903,9.757,0.0,0.001,0.001,55.44,-45.18,-13.08
1,1.0,1.0,0.486,-0.876,9.742,0.0,-0.001,-0.0,55.08,-45.72,-13.26
2,2.0,2.0,0.469,-0.893,9.761,-0.0,0.0,-0.0,54.18,-45.9,-13.14
3,3.0,3.0,0.479,-0.91,9.769,-0.001,-0.001,-0.001,54.18,-45.36,-13.14
4,4.0,4.0,0.476,-0.898,9.752,-0.0,0.0,0.0,54.12,-44.76,-12.9
5,5.0,5.0,0.479,-0.9,9.749,0.002,-0.0,0.001,54.48,-45.0,-12.0
6,6.0,6.0,0.481,-0.898,9.764,-0.0,-0.0,0.001,55.02,-45.0,-12.12
7,7.0,7.0,0.486,-0.905,9.759,0.001,0.0,0.0,55.14,-45.18,-12.78
8,8.0,8.0,0.505,-0.898,9.735,-0.001,-0.0,-0.0,55.92,-45.24,-13.56
9,9.0,9.0,0.488,-0.886,9.749,0.0,-0.0,-0.0,56.16,-44.46,-13.38
10,10.0,10.0,0.472,-0.91,9.752,-0.0,0.0,-0.001,55.08,-44.82,-13.08
11,11.0,11.0,0.498,-0.907,9.752,0.0,0.0,0.0,54.18,-45.54,-13.08
12,12.0,12.0,0.479,-0.883,9.785,-0.0,0.0,-0.001,54.12,-45.3,-13.56
13,13.0,13.0,0.503,-0.9,9.742,0.0,0.001,0.0,54.54,-44.82,-13.62
14,14.0,14.0,0.493,-0.905,9.788,-0.001,-0.0,-0.0,54.9,-44.7,-12.84
15,15.0,15.0,0.493,-0.905,9.764,0.0,0.0,-0.0,55.38,-45.24,-12.96
16,16.0,16.0,0.486,-0.905,9.761,-0.0,0.0,-0.0,54.84,-45.12,-12.96
17,17.0,17.0,0.491,-0.886,9.749,-0.0,-0.001,-0.001,54.54,-44.52,-12.6
18,18.0,18.0,0.493,-0.912,9.735,-0.0,0.001,0.0,54.36,-44.94,-12.9
19,19.0,19.0,0.486,-0.907,9.766,-0.001,-0.001,0.0,54.48,-44.88,-13.2
20,20.0,20.0,0.488,-0.912,9.733,0.0,0.002,-0.0,55.02,-45.24,-12.9
21,21.0,21.0,0.503,-0.905,9.771,-0.0,0.0,-0.001,54.54,-46.02,-13.26
22,22.0,22.0,0.481,-0.905,9.749,-0.0,-0.0,0.0,54.06,-46.14,-13.44
23,23.0,23.0,0.484,-0.891,9.745,0.0,-0.0,0.0,54.12,-46.02,-13.26
24,24.0,24.0,0.472,-0.915,9.757,-0.0,-0.0,0.0,54.66,-45.12,-12.48
25,25.0,25.0,0.484,-0.895,9.726,-0.0,0.001,-0.0,55.26,-45.42,-13.02
26,26.0,26.0,0.484,-0.903,9.778,0.0,-0.001,-0.001,55.26,-45.66,-13.62
27,27.0,27.0,0.51,-0.883,9.766,0.0,0.002,0.001,55.26,-44.82,-12.54
28,28.0,28.0,0.491,-0.898,9.776,-0.001,-0.001,0.0,55.02,-45.0,-12.18
29,29.0,29.0,0.469,-0.922,9.745,-0.0,0.001,0.0,55.2,-45.0,-12.9
30,30.0,30.0,0.491,-0.879,9.759,-0.0,-0.0,-0.0,55.08,-44.76,-13.32
31,31.0,31.0,0.488,-0.905,9.742,0.001,0.0,0.0,54.78,-45.54,-12.78
32,32.0,32.0,0.496,-0.893,9.742,0.0,-0.0,-0.001,54.84,-46.02,-12.36
33,33.0,33.0,0.464,-0.893,9.747,0.0,0.0,-0.001,54.72,-45.96,-12.12
34,34.0,34.0,0.474,-0.905,9.752,-0.001,-0.0,-0.0,55.14,-45.66,-12.18
35,35.0,35.0,0.486,-0.893,9.761,-0.0,-0.0,0.0,55.02,-45.3,-12.3
36,36.0,36.0,0.481,-0.91,9.738,0.0,0.002,-0.0,54.54,-45.3,-12.78
37,37.0,37.0,0.486,-0.9,9.752,0.0,-0.001,-0.001,54.48,-45.42,-13.08
38,38.0,38.0,0.493,-0.915,9.764,-0.0,0.002,0.0,54.54,-45.0,-12.54
39,39.0,39.0,0.484,-0.893,9.754,-0.001,0.0,-0.0,54.06,-45.24,-12.6
40,40.0,40.0,0.493,-0.91,9.769,0.001,0.0,-0.0,54.54,-45.72,-13.2
41,41.0,41.0,0.493,-0.91,9.754,-0.0,0.0,-0.0,55.68,-45.42,-12.96
42,42.0,42.0,0.479,-0.898,9.776,-0.0,0.0,-0.001,56.16,-45.12,-12.36
43,43.0,43.0,0.481,-0.905,9.771,0.001,0.001,0.0,56.58,-44.82,-11.94
44,44.0,44.0,0.496,-0.9,9.759,-0.0,-0.001,0.0,56.28,-44.88,-12.18
45,45.0,45.0,0.481,-0.905,9.74,-0.0,0.0,0.0,55.68,-45.0,-12.96
46,46.0,46.0,0.481,-0.91,9.776,0.0,-0.001,-0.0,55.56,-45.6,-13.44
47,47.0,47.0,0.481,-0.883,9.769,-0.0,0.0,-0.001,55.02,-45.66,-13.62
48,48.0,48.0,0.476,-0.898,9.764,-0.001,-0.0,-0.0,54.78,-44.88,-13.5
49,49.0,49.0,0.476,-0.905,9.769,-0.001,-0.0,-0.0,54.72,-45.42,-12.66
50,50.0,50.0,0.474,-0.907,9.778,-0.001,0.001,0.0,54.66,-46.14,-12.96
51,51.0,51.0,0.493,-0.898,9.769,0.001,0.0,0.0,55.08,-45.54,-13.08
52,52.0,52.0,0.469,-0.91,9.759,-0.002,-0.001,-0.0,55.32,-44.94,-13.2
53,53.0,53.0,0.505,-0.905,9.718,0.0,-0.001,0.0,54.6,-45.48,-13.08
54,54.0,54.0,0.544,-0.874,9.699,-0.0,-0.001,-0.0,54.9,-45.72,-12.42
55,55.0,55.0,0.46,-0.903,9.884,0.002,0.002,-0.001,55.32,-45.06,-13.74
56,56.0,56.0,0.493,-0.883,9.644,0.006,0.008,0.001,55.08,-44.16,-13.32
57,57.0,57.0,0.469,-0.84,9.812,-0.005,-0.009,0.002,55.08,-44.64,-12.96
58,58.0,58.0,0.496,-0.905,9.685,0.006,-0.001,-0.0,54.3,-45.06,-13.26
59,59.0,59.0,0.512,-0.852,9.812,-0.006,0.007,-0.0,54.42,-44.4,-13.02
60,60.0,60.0,0.488,-0.903,9.826,0.001,-0.005,0.0,54.84,-44.4,-13.08
61,61.0,61.0,0.498,-0.922,9.687,-0.0,0.005,-0.001,55.08,-44.76,-13.14
62,62.0,62.0,0.493,-0.874,9.848,-0.003,-0.005,0.0,55.62,-44.7,-13.14
63,63.0,63.0,0.498,-0.9,9.659,0.003,0.005,-0.0,55.8,-44.52,-13.08
64,64.0,64.0,0.464,-0.874,9.826,-0.003,-0.004,0.001,55.8,-44.7,-13.26
65,65.0,65.0,0.486,-0.903,9.687,0.001,0.006,-0.001,55.68,-44.4,-12.42
